calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url,ingredients,ingredients_normalized,ingredients_canonical
204.0,11.0,"Breakfast,Brunch,Snacks",17.0,"{'@type': 'NutritionInformation', 'calories': ' 204 calories', 'fatContent': '17g fat (6g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '19mg sodium', 'carbohydrateContent': '11g carbohydrate (8g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '3g protein. '}",3.0,5.0,1.0,taste_of_home,Grain-Free Apple Pie Granola,https://www.tasteofhome.com/recipes/grain-free-apple-pie-granola/,,,
248.0,38.0,"Breakfast,Brunch,Desserts",9.0,"{'@type': 'NutritionInformation', 'calories': ' 248 calories', 'fatContent': '9g fat (4g saturated fat)', 'cholesterolContent': '31mg cholesterol', 'sodiumContent': '218mg sodium', 'carbohydrateContent': '38g carbohydrate (19g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '4g protein. '}",4.0,4.9333334,15.0,taste_of_home,Apple Pull-Apart Bread,https://www.tasteofhome.com/recipes/apple-pull-apart-bread/,,,
61.0,4.0,Appetizers,4.0,"{'@type': 'NutritionInformation', 'calories': ' 61 calories', 'fatContent': '4g fat (2g saturated fat)', 'cholesterolContent': '23mg cholesterol', 'sodiumContent': '143mg sodium', 'carbohydrateContent': '4g carbohydrate (1g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '3g protein. '}",3.0,4.928571,14.0,taste_of_home,Shrimp Tartlets,https://www.tasteofhome.com/recipes/shrimp-tartlets/,,,
416.0,34.0,Desserts,30.0,"{'@type': 'NutritionInformation', 'calories': ' 416 calories', 'fatContent': '30g fat (17g saturated fat)', 'cholesterolContent': '115mg cholesterol', 'sodiumContent': '274mg sodium', 'carbohydrateContent': '34g carbohydrate (25g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '6g protein.'}",6.0,5.0,1.0,taste_of_home,Instant Pot Chocolate Chip Cheesecake,https://www.tasteofhome.com/recipes/instant-pot-chocolate-chip-cheesecake/,,,
384.0,70.0,Desserts,10.0,"{'@type': 'NutritionInformation', 'calories': ' 384 calories', 'fatContent': '10g fat (7g saturated fat)', 'cholesterolContent': '21mg cholesterol', 'sodiumContent': '223mg sodium', 'carbohydrateContent': '70g carbohydrate (50g sugars', 'fiberContent': '3g fiber)', 'proteinContent': '3g protein. '}",3.0,4.9310346,58.0,taste_of_home,Blueberry Angel Dessert,https://www.tasteofhome.com/recipes/blueberry-angel-dessert/,,,
348.0,35.0,Desserts,20.0,"{'@type': 'NutritionInformation', 'calories': ' 348 calories', 'fatContent': '20g fat (13g saturated fat)', 'cholesterolContent': '49mg cholesterol', 'sodiumContent': '305mg sodium', 'carbohydrateContent': '35g carbohydrate (22g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '4g protein. '}",4.0,4.742857,35.0,taste_of_home,Lemon Pudding Dessert,https://www.tasteofhome.com/recipes/lemon-pudding-dessert/,,,
191.0,23.0,Desserts,10.0,"{'@type': 'NutritionInformation', 'calories': ' 191 calories', 'fatContent': '10g fat (6g saturated fat)', 'cholesterolContent': '40mg cholesterol', 'sodiumContent': '94mg sodium', 'carbohydrateContent': '23g carbohydrate (12g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '3g protein. '}",3.0,4.733333,75.0,taste_of_home,Apple Caramel Cheesecake Bars,https://www.tasteofhome.com/recipes/apple-caramel-cheesecake-bars/,,,
186.0,39.0,"Desserts,Lunch",3.0,"{'@type': 'NutritionInformation', 'calories': ' 186 calories', 'fatContent': '3g fat (3g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '26mg sodium', 'carbohydrateContent': '39g carbohydrate (38g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein.'}",1.0,5.0,1.0,taste_of_home,Circus Peanut Gelatin,https://www.tasteofhome.com/recipes/circus-peanut-gelatin/,,,
310.0,39.0,Desserts,17.0,"{'@type': 'NutritionInformation', 'calories': ' 310 calories', 'fatContent': '17g fat (10g saturated fat)', 'cholesterolContent': '49mg cholesterol', 'sodiumContent': '195mg sodium', 'carbohydrateContent': '39g carbohydrate (22g sugars', 'fiberContent': '3g fiber)', 'proteinContent': '3g protein. '}",3.0,5.0,1.0,taste_of_home,Marshmallow Raspberry Pie,https://www.tasteofhome.com/recipes/marshmallow-raspberry-pie/,,,
615.0,86.0,Desserts,28.0,"{'@type': 'NutritionInformation', 'calories': ' 615 calories', 'fatContent': '28g fat (8g saturated fat)', 'cholesterolContent': '8mg cholesterol', 'sodiumContent': '318mg sodium', 'carbohydrateContent': '86g carbohydrate (46g sugars', 'fiberContent': '5g fiber)', 'proteinContent': '6g protein. '}",6.0,4.8461537,13.0,taste_of_home,Berry-Apple-Rhubarb Pie,https://www.tasteofhome.com/recipes/berry-apple-rhubarb-pie/,,,
906.0,132.0,Desserts,39.0,"{'@type': 'NutritionInformation', 'calories': ' 906 calories', 'fatContent': '39g fat (12g saturated fat)', 'cholesterolContent': '19mg cholesterol', 'sodiumContent': '346mg sodium', 'carbohydrateContent': '132g carbohydrate (76g sugars', 'fiberContent': '4g fiber)', 'proteinContent': '7g protein. '}",7.0,5.0,4.0,taste_of_home,Cinnamon Apple Dumplings,https://www.tasteofhome.com/recipes/cinnamon-apple-dumplings/,,,
436.0,73.0,Desserts,16.0,"{'@type': 'NutritionInformation', 'calories': ' 436 calories', 'fatContent': '16g fat (7g saturated fat)', 'cholesterolContent': '14mg cholesterol', 'sodiumContent': '242mg sodium', 'carbohydrateContent': '73g carbohydrate (43g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '3g protein. '}",3.0,5.0,5.0,taste_of_home,Cherry Almond Pie,https://www.tasteofhome.com/recipes/cherry-almond-pie/,,,
763.0,81.0,Desserts,45.0,"{'@type': 'NutritionInformation', 'calories': ' 763 calories', 'fatContent': '45g fat (24g saturated fat)', 'cholesterolContent': '201mg cholesterol', 'sodiumContent': '448mg sodium', 'carbohydrateContent': '81g carbohydrate (62g sugars', 'fiberContent': '3g fiber)', 'proteinContent': '11g protein. '}",11.0,5.0,1.0,taste_of_home,Cookie Ice Cream Pie,https://www.tasteofhome.com/recipes/cookie-ice-cream-pie/,,,
530.0,66.0,Desserts,28.0,"{'@type': 'NutritionInformation', 'calories': ' 530 calories', 'fatContent': '28g fat (9g saturated fat)', 'cholesterolContent': '40mg cholesterol', 'sodiumContent': '409mg sodium', 'carbohydrateContent': '66g carbohydrate (45g sugars', 'fiberContent': '3g fiber)', 'proteinContent': '8g protein. '}",8.0,5.0,1.0,taste_of_home,Caramel Apple Pizza,https://www.tasteofhome.com/recipes/caramel-apple-pizza/,,,
111.0,17.0,Desserts,5.0,"{'@type': 'NutritionInformation', 'calories': ' 111 calories', 'fatContent': '5g fat (1g saturated fat)', 'cholesterolContent': '6mg cholesterol', 'sodiumContent': '59mg sodium', 'carbohydrateContent': '17g carbohydrate (10g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '2g protein. '}",2.0,4.223881,67.0,taste_of_home,Brownie Crackles,https://www.tasteofhome.com/recipes/brownie-crackles/,,,
362.0,49.0,Desserts,17.0,"{'@type': 'NutritionInformation', 'calories': ' 362 calories', 'fatContent': '17g fat (10g saturated fat)', 'cholesterolContent': '77mg cholesterol', 'sodiumContent': '549mg sodium', 'carbohydrateContent': '49g carbohydrate (18g sugars', 'fiberContent': '6g fiber)', 'proteinContent': '8g protein.'}",8.0,5.0,1.0,taste_of_home,Whole Wheat Strawberry Shortcakes,https://www.tasteofhome.com/recipes/whole-wheat-strawberry-shortcakes/,,,
275.0,38.0,Desserts,11.0,"{'@type': 'NutritionInformation', 'calories': ' 275 calories', 'fatContent': '11g fat (5g saturated fat)', 'cholesterolContent': '94mg cholesterol', 'sodiumContent': '306mg sodium', 'carbohydrateContent': '38g carbohydrate (24g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '6g protein. '}",6.0,4.827586,29.0,taste_of_home,Easy Pumpkin Pie,https://www.tasteofhome.com/recipes/easy-pumpkin-pie/,,,
51.0,8.0,Desserts,2.0,"{'@type': 'NutritionInformation', 'calories': ' 51 calories', 'fatContent': '2g fat (1g saturated fat)', 'cholesterolContent': '4mg cholesterol', 'sodiumContent': '19mg sodium', 'carbohydrateContent': '8g carbohydrate (6g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '2g protein.  <B><b>Diabetic Exchanges</b>: </B>1/2 starch.'}",2.0,5.0,3.0,taste_of_home,Berry White Ice Pops,https://www.tasteofhome.com/recipes/berry-white-ice-pops/,,,
