rank,count,canonical
1,62,2 tbsp olive oil
2,61,1/2 teaspoon salt
3,58,1 tbsp olive oil
4,40,1 teaspoon vanilla extract
5,38,1 teaspoon salt
6,32,1 tsp baking powder
7,31,1/4 teaspoon pepper
8,29,1/4 teaspoon salt
9,27,2 clove garlic
10,26,1 unit lemon
11,26,3 tbsp olive oil
12,25,2 unit green onion
13,25,2 tablespoon butter
14,24,1 tablespoon butter
15,23,1 g 1 garlic clove crushed
16,22,1 cup sugar
17,22,1 tsp vanilla extract
18,21,1 tablespoon olive oil
19,21,1/4 cup parmesan cheese
20,20,1 package 8 ounces cream cheese softened
21,20,12 ounce yukon gold potatoe
22,19,1/2 cup sugar
23,19,2 cup 2 cups flour
24,19,2 g 2 garlic cloves minced
25,19,2 l 2 large eggs room temperature
26,19,2 teaspoon olive oil
27,19,1 egg beaten
28,18,50 g 50g butter
29,17,2 tablespoons olive oil
30,17,1 l 1 large egg room temperature
31,17,2 tablespoon sour cream
32,16,1/2 teaspoon pepper
33,16,1/4 cup sugar
34,16,2 l 2 large egg
35,16,1 teaspoon olive oil
36,16,4 egg
37,15,1/2 cup packed brown sugar
38,15,1 cup butter softened
39,15,1 teaspoon baking soda
40,15,1 egg
41,15,4 tablespoon sour cream
42,15,1 onion chopped
43,14,1-1/2 cup 1-1/2 cups flour
44,14,1 unit shallot
45,14,1/4 cup panko breadcrumb
46,14,1 unit yellow onion
47,14,25 g 25g butter
48,14,1 onion finely chopped
49,13,1/2 teaspoon ground cinnamon
50,13,1/2 teaspoon vanilla extract
51,13,4 l 4 large egg
52,13,1 bay leaf
53,13,1 teaspoon garlic powder
54,13,10 ounce beef
55,13,1 unit lime
56,12,1 teaspoon ground cinnamon
57,12,1 g 1 garlic clove minced
58,12,1/2 cup butter softened
59,12,2 teaspoons vanilla extract
60,12,1 l 1 large egg
61,12,3 egg
62,12,2 g 2 garlic cloves crushed
63,12,2 tbsp flour
64,11,1 teaspoon sugar
65,11,3 l 3 large egg
66,11,1/2 tsp baking powder
67,11,2 egg
68,11,canned chopped tomatoe
69,11,4 tbsp olive oil
70,11,&
71,11,3 tbsp flour
72,11,2 tbsp vegetable oil
73,10,3 g 3 garlic cloves minced
74,10,1 tablespoon sugar
75,10,1 medium onion chopped
76,10,2 teaspoons baking powder
77,10,4 g 4 garlic cloves minced
78,10,1/2 teaspoon baking soda
79,10,1/8 teaspoon salt
80,10,1 unit beef stock concentrate
81,10,4 teaspoon vegetable oil
82,10,2 teaspoon vegetable oil
83,10,1 unit zucchini
84,10,4 ounce grape tomatoe
85,10,2 tbsp butter
86,10,100 g 100g golden caster sugar
87,10,300 ml 300ml double cream
88,10,1 l 1 lemon zested
89,9,1 cup confectioners' sugar
90,9,1 teaspoon dried oregano
91,9,1/4 cup packed brown sugar
92,9,1 cup flour
93,9,1-1/2 cup 1-1/2 cups sugar
94,9,1 shallot finely chopped
95,9,1 thumb ginger
96,9,4 teaspoon olive oil
97,9,1 unit roma tomato
98,9,1/4 ounce chive
99,9,1 teaspoon chili flake
100,9,1 clove garlic
